"zip","year","federal_awards","federal_dollars","state_awards","state_dollars"
11204,2012,0,0,6,41800
11204,2013,1,15000,6,52200
11204,2014,0,0,4,47400
11204,2015,0,0,6,53800
11205,2005,3,43000,6,125654
11205,2006,2,22000,10,165202
11205,2007,3,47000,10,204584
11205,2008,3,814039,8,125900
11205,2009,4,1e+05,4,38100
11205,2010,4,1021407,8,115796
11205,2011,6,115000,10,135592
11205,2012,3,65000,14,124520
11205,2013,2,42500,14,132494
11205,2014,3,50000,4,20000
11205,2015,4,75000,24,313834
11206,2005,2,35000,0,0
11206,2006,0,0,2,5000
11206,2007,0,0,4,19600
11206,2008,1,15000,6,48000
11206,2009,0,0,2,12000
11206,2010,1,20000,14,174450
11206,2011,1,15000,16,132612
11206,2012,2,45000,18,156914
11206,2013,2,35000,16,161662
11206,2014,1,25000,0,0
11206,2015,1,15000,12,97000
11207,2011,0,0,2,10088
11208,2013,0,0,2,20000
11208,2014,0,0,2,20000
11208,2015,0,0,2,20000
11209,2008,0,0,2,8000
11209,2010,0,0,2,6000
11209,2012,1,12500,0,0
11210,2005,1,10000,8,86600
11210,2006,1,10000,8,74502
11210,2008,1,10000,2,400
11210,2009,1,10000,0,0
11210,2010,1,10000,8,38600
11210,2011,1,10000,4,34322
11210,2012,1,25000,2,14800
11210,2013,0,0,2,40000
11210,2014,1,10000,2,40000
11210,2015,1,12500,8,77900
11211,2005,0,0,34,338000
11211,2006,1,25000,34,440400
11211,2007,0,0,36,335646
11211,2008,0,0,52,462500
11211,2009,1,20000,26,328598
11211,2010,2,65000,38,415846
11211,2011,2,55000,42,376812
11211,2012,3,95000,40,401014
11211,2013,1,20000,32,409450
11211,2014,3,55000,6,104400
11211,2015,5,90000,14,215950
11213,2005,1,150000,18,212800
11213,2006,1,39675,18,210800
11213,2007,0,0,16,236890
11213,2008,0,0,18,255200
11213,2009,3,409804,14,235000
11213,2010,2,288652,14,254774
11213,2011,1,150000,18,239336
11213,2012,0,0,12,192480
11213,2013,3,185000,10,179280
11213,2014,1,45000,0,0
11213,2015,1,148550,4,111000
11214,2005,0,0,2,11000
11214,2006,0,0,2,11000
11214,2007,0,0,2,11550
11214,2008,0,0,4,35000
11214,2009,0,0,2,14800
11214,2010,0,0,2,14200
11214,2011,0,0,2,11868
11214,2012,0,0,2,10740
11214,2013,0,0,2,10000
11214,2014,0,0,2,10000
11214,2015,0,0,2,10000
11215,2005,2,90000,38,281380
