"zip","year","awards","dollars"
10036,2007,118,1984410
10036,2008,136,2533400
10036,2009,80,1677600
10036,2010,118,1853610
10036,2011,116,2167292
10036,2012,116,1745934
10036,2013,104,1584730
10036,2014,16,423800
10036,2015,116,1906580
10036,2016,128,2204014
10037,1987,4,10390
10037,2006,2,15000
10037,2007,2,15750
10037,2010,2,11848
10037,2011,2,9890
10037,2012,4,25000
10037,2013,2,48000
10037,2015,2,48000
10037,2016,2,60000
10038,1986,2,2000
10038,1987,98,5107204
10038,1988,90,5009350
10038,1989,124,6012640
10038,1990,102,6194414
10038,1991,60,621750
10038,1992,36,115428
10038,1993,18,87944
10038,1994,24,114888
10038,1995,24,194068
10038,1996,24,139928
10038,1997,28,178948
10038,1998,22,184668
10038,1999,30,286900
10038,2000,28,319726
10038,2001,24,319000
10038,2002,32,295400
10038,2003,30,318000
10038,2004,36,355200
10038,2005,24,197000
10038,2006,48,1067346
10038,2007,46,1284760
10038,2008,36,1314200
10038,2009,28,1416400
10038,2010,36,1495252
10038,2011,26,1147028
10038,2012,26,1068792
10038,2013,32,1154682
10038,2014,2,8472
10038,2015,56,1466696
10038,2016,34,1471714
10039,1998,2,8400
10039,2009,6,85600
10039,2010,8,80000
10039,2011,6,83076
10039,2012,4,70600
10039,2013,4,70600
10039,2015,4,66000
10039,2016,4,66000
10040,1987,4,15000
10040,1988,4,15000
10040,1989,8,19400
10040,1990,4,14140
10040,1991,6,13000
10040,1992,6,8040
10040,1993,4,6700
10040,1994,6,12640
10040,1995,4,9000
10040,2003,2,6000
10040,2004,4,12000
10040,2005,6,19400
10040,2006,4,14400
10040,2007,4,15120
10040,2008,4,16600
10040,2009,2,10000
10040,2010,14,67478
10040,2011,10,54000
10040,2012,10,44326
10040,2013,4,29380
10040,2014,4,30000
10040,2015,2,10000
10040,2016,4,20000
10041,2004,2,194
10041,2005,2,194
10044,2002,2,9200
10044,2003,2,9200
10044,2004,4,10056
10044,2005,2,10000
10044,2006,2,10000
10044,2007,2,10500
10044,2015,2,15000
10048,1990,14,117958
10048,1991,10,110000
10048,1992,12,55000
10048,1993,6,43600
10048,1994,8,60368
10048,1995,8,44000
10048,1996,6,36094
10048,1997,8,41306
10048,1998,12,882000
10048,1999,10,328380
10048,2000,12,780000
10104,2000,2,20000
10106,1991,2,11000
10106,1992,2,5000
10107,1991,2,2400
10107,1992,2,2400
10107,1993,2,28086
10107,1994,2,32580
10107,1995,2,30600
10107,1996,2,26576
10107,1997,4,29234
10107,1998,2,36000
10107,1999,6,69160
10107,2000,6,97280
10107,2001,4,69770
10107,2002,10,123000
10107,2003,4,63600
10107,2004,8,92400
10107,2005,4,44000
10107,2006,4,44000
10107,2007,2,39900
10107,2008,2,43800
10107,2009,2,43000
10107,2010,4,48440
10107,2011,2,36000
10107,2012,2,32600
10107,2013,2,28000
10107,2015,2,28000
10107,2016,2,28000
10112,2002,2,34000
10112,2003,2,13140
10112,2004,2,1460
10115,1987,8,35000
10115,1988,6,26000
10115,1989,14,50000
10115,1990,6,38000
10115,1991,12,60400
10115,1992,4,20360
10115,1993,4,15556
10115,1994,2,6000
10115,1995,2,6000
10115,1996,2,5790
10115,1997,4,6496
10115,1998,2,8000
10115,1999,2,8480
10115,2002,2,10000
10115,2010,2,6400
10115,2011,2,33230
10115,2012,2,23200
10115,2013,2,21200
10115,2015,2,42000
10115,2016,2,42000
10118,1996,4,12820
10118,1997,6,33480
10118,1998,4,30000
10118,2001,2,6000
10118,2002,2,6000
10118,2003,2,6000
10122,1998,2,40000
10122,1999,2,40000
10122,2000,2,30000
10122,2001,8,540000
10122,2002,4,102000
10122,2003,4,104000
10122,2004,2,61200
10122,2005,2,59600
10122,2006,2,50000
10122,2007,2,52500
10122,2008,4,92800
10122,2009,2,22000
10122,2010,4,86000
10122,2011,6,99692
10122,2012,2,42200
10123,1987,2,16000
10123,2009,2,10000
10128,1987,118,1197600
10128,1988,116,1287764
10128,1989,122,1221500
10128,1990,94,1154966
10128,1991,70,962278
10128,1992,100,813498
10128,1993,42,454326
10128,1994,60,707088
10128,1995,70,959580
10128,1996,48,507068
10128,1997,56,611032
10128,1998,46,808368
10128,1999,50,931894
10128,2000,50,1073602
10128,2001,40,787200
10128,2002,26,524400
10128,2003,28,548200
10128,2004,38,523700
10128,2005,32,551600
10128,2006,36,578600
10128,2007,38,757280
10128,2008,38,807550
10128,2009,32,738000
10128,2010,46,1024806
10128,2011,46,855632
10128,2012,50,888480
10128,2013,36,715120
10128,2014,2,15000
10128,2015,30,667800
10128,2016,34,835400
10152,1986,2,2608
10153,1999,6,98160
10153,2000,2,30000
10162,2006,4,10000
10162,2007,4,15250
10162,2008,6,24000
10162,2009,4,18600
10165,2005,2,5000
10166,1987,2,4000
10168,1999,4,18000
10168,2000,2,14000
10168,2001,8,32110
10168,2002,6,91000
10168,2003,6,127000
10168,2004,4,104000
10168,2005,4,95200
10168,2006,6,94000
10168,2007,4,71500
10168,2008,2,34600
10168,2011,2,74570
10168,2012,2,21800
10168,2013,2,21800
10168,2015,2,50000
10168,2016,2,50000
10170,1989,2,30000
10170,1992,4,19000
10170,1993,4,13904
10170,1994,4,15232
10170,1995,6,21000
10170,1996,6,19302
10170,1997,6,15356
10170,1998,4,15600
10170,1999,4,20176
10170,2000,2,10000
10170,2001,4,22000
10170,2002,4,18800
10170,2003,4,17800
10170,2004,4,13000
10170,2005,4,12700
10170,2006,2,8200
10170,2007,2,8610
10173,1990,2,10000
10173,1991,2,10000
10175,1988,6,18000
10175,1989,8,22000
10175,1990,8,24000
10175,1991,2,14000
10175,1992,2,5000
10271,1999,2,30000
10271,2005,2,25800
10271,2006,2,25800
10271,2010,2,12834
10271,2011,2,13252
10271,2015,2,20000
10271,2016,2,20000
10280,1987,2,8000
10280,1988,4,16000
10280,1989,4,16000
10280,1990,4,25000
10280,1991,2,14250
10280,1992,4,14000
10280,1993,2,11200
10280,1994,2,17000
10280,2006,2,20000
10280,2007,4,54000
10280,2008,4,65500
10280,2009,4,124000
10280,2010,10,127226
10280,2011,4,89406
10280,2012,8,102460
10280,2013,6,79500
10280,2015,2,30000
10280,2016,4,1e+05
10281,2001,2,4000
10281,2002,2,4000
10282,2010,2,46636
10282,2011,2,40352
10282,2012,2,36540
10282,2013,2,36540
10282,2015,2,56000
10282,2016,2,56000
10301,1986,6,15000
10301,1987,48,281800
10301,1988,40,266800
10301,1989,60,366900
10301,1990,44,317452
10301,1991,38,261134
10301,1992,30,191176
10301,1993,24,184890
10301,1994,26,226382
10301,1995,38,346400
10301,1996,34,251688
10301,1997,16,157740
10301,1998,26,303340
10301,1999,30,366866
10301,2000,22,436564
10301,2001,26,425750
10301,2002,30,445380
10301,2003,32,462300
10301,2004,28,391200
10301,2005,20,351000
10301,2006,16,349000
10301,2007,24,421350
10301,2008,28,508600
10301,2009,18,400920
10301,2010,28,462272
10301,2011,16,349316
10301,2012,22,393860
10301,2013,22,456860
10301,2015,26,468200
10301,2016,28,701196
10302,1991,4,25100
10302,1992,2,15280
10303,1989,2,18000
10303,1990,2,20000
