Zip Code,Fiscal Year,No. of Awards,Grant Dollars,Grantor
10023,1996,4,"$8,640",New England Foundation for the Arts
10023,1996,124,"$3,357,566",New York
10023,1996,2,$200,South Carolina
10023,1997,172,"$3,519,370",New York
10023,1998,122,"$4,187,736",New York
10023,1999,112,"$4,322,254",New York
10023,1999,2,"$11,840",Pennsylvania
10024,1986,2,"$14,000",Oklahoma
10024,1987,114,"$2,128,966",New York
10024,1987,2,"$32,200",Puerto Rico
10024,1987,2,"$5,500",South Dakota
10024,1988,2,"$7,000",Mid Atlantic Arts Foundation
10024,1988,116,"$2,225,056",New York
10024,1988,2,"$4,000",North Carolina
10024,1988,2,"$40,000",Puerto Rico
10024,1988,2,"$14,300",South Dakota
10024,1989,126,"$2,310,474",New York
10024,1989,4,"$45,200",Puerto Rico
10024,1990,106,"$2,308,180",New York
10024,1990,16,"$96,000",Puerto Rico
10024,1991,72,"$1,785,700",New York
10024,1991,2,"$33,000",Puerto Rico
10024,1992,82,"$1,015,518",New York
10024,1992,2,"$33,000",Puerto Rico
10024,1993,78,"$849,346",New York
10024,1993,4,"$33,800",Puerto Rico
10024,1994,58,"$819,850",New York
10024,1995,66,"$1,153,100",New York
10024,1996,2,"$10,000",Mid Atlantic Arts Foundation
10024,1996,54,"$433,594",New York
10024,1996,2,"$8,000",Tennessee
10024,1997,90,"$1,045,364",New York
10024,1998,2,"$6,000",Mid Atlantic Arts Foundation
10024,1998,74,"$1,243,964",New York
10024,1998,2,"$3,400",Utah
10024,1999,4,"$1,900",Connecticut
10024,1999,66,"$1,445,208",New York
10024,1999,2,"$1,500",Utah
10025,1987,170,"$1,158,360",New York
10025,1988,2,"$18,000",Kentucky
10025,1988,168,"$1,231,900",New York
10025,1988,2,"$30,000",Puerto Rico
10025,1989,2,"$5,000",California
10025,1989,196,"$1,332,372",New York
10025,1989,2,$800,Puerto Rico
10025,1990,180,"$1,337,490",New York
10025,1991,152,"$1,382,710",New York
10025,1992,158,"$681,912",New York
10025,1992,6,"$5,400",Washington
10025,1993,110,"$580,306",New York
10025,1994,100,"$655,558",New York
10025,1994,2,"$12,000",North Carolina
10025,1995,2,"$10,000",New Jersey
10025,1995,106,"$728,338",New York
10025,1996,2,"$10,000",Mid Atlantic Arts Foundation
10025,1996,2,$660,New England Foundation for the Arts
