"zip","year","independent_artists","art_firms"
11220,2006,0,21
11220,2007,0,19
11220,2008,0,38
11220,2009,0,36
11220,2010,1,36
11220,2011,1,36
11220,2012,3,6
11220,2013,5,10
11220,2014,3,8
11220,2015,2,21
11221,2005,2,4
11221,2006,1,2
11221,2007,1,0
11221,2008,0,4
11221,2009,0,13
11221,2010,1,21
11221,2011,0,6
11221,2012,0,2
11221,2013,0,4
11221,2014,3,4
11221,2015,4,8
11222,2005,3,16
11222,2006,4,29
11222,2007,3,53
11222,2008,7,33
11222,2009,10,37
11222,2010,10,52
11222,2011,12,56
11222,2012,20,124
11222,2013,23,117
11222,2014,28,182
11222,2015,34,134
11223,2005,2,22
11223,2006,1,13
